00-01-01 00:00:02 --- one package
00-01-01 00:00:06 ---   174  -753  8405
00-01-01 00:00:06 ---   170  -712  8438
00-01-01 00:00:06 ---   161  -676  8477
00-01-01 00:00:06 ---   156  -649  8509
00-01-01 00:00:06 ---   154  -633  8535
00-01-01 00:00:06 ---   154  -629  8581
00-01-01 00:00:07 --- one package
00-01-01 00:00:07 ---   225 -3263  8764
00-01-01 00:00:07 ---   240 -3274  8719
00-01-01 00:00:07 ---   252 -3280  8676
00-01-01 00:00:07 ---   199 -3272  8645
00-01-01 00:00:07 ---   159 -3263  8594
00-01-01 00:00:07 ---   107 -3248  8516
00-01-01 00:00:07 ---    68 -3237  8464
00-01-01 00:00:07 ---   103 -3241  8365
00-01-01 00:00:07 ---   135 -3248  8323
00-01-01 00:00:07 ---   166 -3261  8293
00-01-01 00:00:07 ---   218 -3269  8253
00-01-01 00:00:07 ---   233 -3268  8258
00-01-01 00:00:07 ---   246 -3262  8249
00-01-01 00:00:07 ---   260 -3243  8237
00-01-01 00:00:07 ---   246 -3228  8242
00-01-01 00:00:07 ---   242 -3200  8224
00-01-01 00:00:07 ---   241 -3173  8207
00-01-01 00:00:07 ---   232 -3144  8195
00-01-01 00:00:07 ---   239 -3111  8178
00-01-01 00:00:07 ---   241 -3079  8155
00-01-01 00:00:07 ---   244 -3047  8136
00-01-01 00:00:07 ---   251 -3015  8115
00-01-01 00:00:07 ---   249 -2987  8077
00-01-01 00:00:07 ---   248 -2961  8055
00-01-01 00:00:07 ---   240 -2936  8017
00-01-01 00:00:07 ---   239 -2916  7997
00-01-01 00:00:07 ---   233 -2896  7981
00-01-01 00:00:07 ---   239 -2887  7960
00-01-01 00:00:07 ---   243 -2874  7946
00-01-01 00:00:07 ---   237 -2859  7929
00-01-01 00:00:07 ---   238 -2830  7916
00-01-01 00:00:07 ---   220 -2796  7901
00-01-01 00:00:07 ---   205 -2756  7885
00-01-01 00:00:07 ---   186 -2722  7860
00-01-01 00:00:07 ---   171 -2697  7831
00-01-01 00:00:07 ---   166 -2679  7798
00-01-01 00:00:07 ---   164 -2666  7770
00-01-01 00:00:07 ---   166 -2655  7749
00-01-01 00:00:07 ---   169 -2648  7747
00-01-01 00:00:07 ---   171 -2643  7742
00-01-01 00:00:07 ---   173 -2643  7731
00-01-01 00:00:07 ---   177 -2645  7708
00-01-01 00:00:07 ---   186 -2649  7675
00-01-01 00:00:07 ---   196 -2646  7648
00-01-01 00:00:07 ---   198 -2650  7635
00-01-01 00:00:07 ---   207 -2641  7628
00-01-01 00:00:07 ---   205 -2638  7626
00-01-01 00:00:07 ---   212 -2629  7613
00-01-01 00:00:07 ---   217 -2623  7578
00-01-01 00:00:07 ---   224 -2616  7567
00-01-01 00:00:07 ---   226 -2614  7569
00-01-01 00:00:07 ---   234 -2611  7575
00-01-01 00:00:07 ---   242 -2615  7589
00-01-01 00:00:07 ---   257 -2617  7599
00-01-01 00:00:07 ---   268 -2623  7605
00-01-01 00:00:07 ---   276 -2614  7605
00-01-01 00:00:07 ---   284 -2601  7603
